[Header],
Investigator Name,"Su, Wei"
Project Name,The_Hutton_Inst_Ayr_PLTBARV01_20260709
Experiment Name,
Date,2026-07-08
[Manifests],
A,BarleySNP50-JHI-GS_20012062_2A
[Data],
Sample_ID,Sample_Plate,Sample_Name,Project,AMP_Plate,Sample_Well,SentrixBarcode_A,SentrixPosition_A,Super_ID,Order ID,Scanner,Date_Scan,Replicate,Parent1,Parent2,Gender,Igenity_OrderID,Sample_Tests,Sample_Test_Status,Primary_Sample_ID,Secondary_Sample_ID,Organization,BarCode,Animal ID,BarCode 2,Sample Type,Sex
73A001,699493,73A001,109112,398009,A1,209745230001,R01C01,1303044-V_73A001_JHI_Hv50k_P168_A01-62055600,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A001_JHI_Hv50k_P168_A01,73A001,,DNA,
73A002,699493,73A002,109112,398009,B1,209745230001,R01C02,1303044-V_73A002_JHI_Hv50k_P168_B01-62055601,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A002_JHI_Hv50k_P168_B01,73A002,,DNA,
73A003,699493,73A003,109112,398009,C1,209745230002,R01C01,1303044-V_73A003_JHI_Hv50k_P168_C01-62055602,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A003_JHI_Hv50k_P168_C01,73A003,,DNA,
73A004,699493,73A004,109112,398009,D1,209745230002,R01C02,1303044-V_73A004_JHI_Hv50k_P168_D01-62055603,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A004_JHI_Hv50k_P168_D01,73A004,,DNA,
73A005,699493,73A005,109112,398009,E1,209745230007,R01C01,1303044-V_73A005_JHI_Hv50k_P168_E01-62055604,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A005_JHI_Hv50k_P168_E01,73A005,,DNA,
73A006,699493,73A006,109112,398009,F1,209745230007,R01C02,1303044-V_73A006_JHI_Hv50k_P168_F01-62055605,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A006_JHI_Hv50k_P168_F01,73A006,,DNA,
73A007,699493,73A007,109112,398009,G1,209745230009,R01C01,1303044-V_73A007_JHI_Hv50k_P168_G01-62055606,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A007_JHI_Hv50k_P168_G01,73A007,,DNA,
73A008,699493,73A008,109112,398009,H1,209745230009,R01C02,1303044-V_73A008_JHI_Hv50k_P168_H01-62055607,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A008_JHI_Hv50k_P168_H01,73A008,,DNA,
73A009,699493,73A009,109112,398009,A2,209745230001,R03C01,1303044-V_73A009_JHI_Hv50k_P168_A02-62055608,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A009_JHI_Hv50k_P168_A02,73A009,,DNA,
73A010,699493,73A010,109112,398009,B2,209745230001,R03C02,1303044-V_73A010_JHI_Hv50k_P168_B02-62055609,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A010_JHI_Hv50k_P168_B02,73A010,,DNA,
73A011,699493,73A011,109112,398009,C2,209745230002,R03C01,1303044-V_73A011_JHI_Hv50k_P168_C02-62055610,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A011_JHI_Hv50k_P168_C02,73A011,,DNA,
73A012,699493,73A012,109112,398009,D2,209745230002,R03C02,1303044-V_73A012_JHI_Hv50k_P168_D02-62055611,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A012_JHI_Hv50k_P168_D02,73A012,,DNA,
73A013,699493,73A013,109112,398009,E2,209745230007,R03C01,1303044-V_73A013_JHI_Hv50k_P168_E02-62055612,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A013_JHI_Hv50k_P168_E02,73A013,,DNA,
73A014,699493,73A014,109112,398009,F2,209745230007,R03C02,1303044-V_73A014_JHI_Hv50k_P168_F02-62055613,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A014_JHI_Hv50k_P168_F02,73A014,,DNA,
73A015,699493,73A015,109112,398009,G2,209745230009,R03C01,1303044-V_73A015_JHI_Hv50k_P168_G02-62055614,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A015_JHI_Hv50k_P168_G02,73A015,,DNA,
73A016,699493,73A016,109112,398009,H2,209745230009,R03C02,1303044-V_73A016_JHI_Hv50k_P168_H02-62055615,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A016_JHI_Hv50k_P168_H02,73A016,,DNA,
73A017,699493,73A017,109112,398009,A3,209745230001,R05C01,1303044-V_73A017_JHI_Hv50k_P168_A03-62055616,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A017_JHI_Hv50k_P168_A03,73A017,,DNA,
73A018,699493,73A018,109112,398009,B3,209745230001,R05C02,1303044-V_73A018_JHI_Hv50k_P168_B03-62055617,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A018_JHI_Hv50k_P168_B03,73A018,,DNA,
73A019,699493,73A019,109112,398009,C3,209745230002,R05C01,1303044-V_73A019_JHI_Hv50k_P168_C03-62055618,1303044,,,,,,,,Barley_SNP50-AYR,Processing,Primary Id Not Set,Secondary Id Not Set,The Hutton Institute,V_73A019_JHI_Hv50k_P168_C03,73A019,,DNA,
