Lines/Markers	Lines/Markers	X	X
BK_01	BK_01	U	0
BK_03	BK_03	U	0
BK_04	BK_04	U	0
BK_05	BK_05	U	0
BK_07	BK_07	U	0
BK_08	BK_08	U	0
BK_09	BK_09	U	0
BK_10	BK_10	U	0
BK_11	BK_11	U	0
BK_12	BK_12	U	0
BK_13	BK_13	U	0
BK_14	BK_14	U	0
BK_15	BK_15	U	0
BK_17	BK_17	U	0
BK_19	BK_19	U	0
BK_24	BK_24	U	0
BOPA1_10012-1239	11_20002	3H	408772778
BOPA1_1007-651	11_20005	6H	574051819
BOPA1_10070-1435	11_10002	U	0
BOPA1_1009-1089	11_10003	U	0
BOPA1_1011-1338	11_20008	U	0
BOPA1_10126-999	11_10005	3H	489991522
BOPA1_10207-1024	11_20010	U	0
BOPA1_10248-954	11_10008	3H	319229522
BOPA1_1028-794	11_20015	6H	493226860
BOPA1_10281-245	11_20014	U	0
BOPA1_10317-448	11_20017	3H	532386292
BOPA1_10318-572	11_20018	5H	554666826
BOPA1_10321-364	11_10010	U	0
BOPA1_10346-92	11_20020	U	0
BOPA1_10360-563	11_20021	U	0
BOPA1_1038-754	11_20023	U	0
BOPA1_1040-279	11_10012	U	0
BOPA1_1041-1441	11_10013	U	0
BOPA1_10425-725	11_10015	6H	552729604
BOPA1_10489-586	11_10017	U	0
BOPA1_10535-217	11_20029	6H	575071614
BOPA1_1062-478	11_20032	U	0
BOPA1_1066-2110	11_10023	6H	16132371
BOPA1_10669-188	11_10024	5H	557857271
BOPA1_10687-540	11_20036	U	0
BOPA1_10719-459	11_20039	U	0
BOPA1_1073-916	11_10025	7H	19591101
BOPA1_1074-992	11_10026	U	0
BOPA1_10760-846	11_20042	U	0
BOPA1_1077-457	11_10028	U	0
BOPA1_10780-204	11_20044	U	0
BOPA1_10922-503	11_10030	U	0
BOPA1_10927-876	11_20052	6H	32052872
BOPA1_1096-1482	11_20053	6H	512159550
BOPA1_11016-603	11_20058	6H	443897804
BOPA1_1107-392	11_20060	7H	109656682
BOPA1_111-499	11_20064	2H	698901005
BOPA1_1110-715	11_20062	U	0
BOPA1_11116-257	11_20063	3H	574657494
BOPA1_11293-490	11_20072	4H	567760048
BOPA1_1140-1508	11_10040	6H	490060558
BOPA1_11454-414	11_10041	1H	552906938
BOPA1_11470-478	11_20078	5H	632298125
BOPA1_11603-445	11_10043	1H	456852946
BOPA1_11619-618	11_20083	7H	537251062
BOPA1_11657-398	11_20085	3H	653287342
BOPA1_11660-365	11_20086	U	0
BOPA1_1169-944	11_10046	U	0
BOPA1_11707-509	11_20089	U	0
BOPA1_1176-1547	11_10047	3H	552742686
BOPA1_1178-279	11_20092	U	0
BOPA1_1180-70	11_10048	U	0
BOPA1_11832-415	11_20093	U	0
BOPA1_1190-86	11_20095	1H	429810625
